,Fecha,Tipo de Cambio
356,07/04/2021,20.1765
357,06/04/2021,20.1612
358,05/04/2021,20.2483
359,04/04/2021,N/E
360,03/04/2021,N/E
361,02/04/2021,N/E
362,01/04/2021,N/E
363,31/03/2021,20.4400
364,30/03/2021,20.6025
365,29/03/2021,20.6047
366,28/03/2021,N/E
367,27/03/2021,N/E
368,26/03/2021,20.5677
369,25/03/2021,20.7662
370,24/03/2021,20.7882
371,23/03/2021,20.6408
372,22/03/2021,20.5788
373,21/03/2021,N/E
374,20/03/2021,N/E
375,19/03/2021,20.4823
376,18/03/2021,20.4415
377,17/03/2021,20.6828
378,16/03/2021,20.5753
379,15/03/2021,N/E
380,14/03/2021,N/E
381,13/03/2021,N/E
382,12/03/2021,20.7637
383,11/03/2021,20.7133
384,10/03/2021,20.9853
385,09/03/2021,21.2575
386,08/03/2021,21.4177
387,07/03/2021,N/E
388,06/03/2021,N/E
389,05/03/2021,21.2635
390,04/03/2021,20.8498
391,03/03/2021,20.8957
392,02/03/2021,20.6903
393,01/03/2021,20.6123
394,28/02/2021,N/E
395,27/02/2021,N/E
396,26/02/2021,20.9390
397,25/02/2021,20.8523
398,24/02/2021,20.4752
399,23/02/2021,20.5833
400,22/02/2021,20.6783
401,21/02/2021,N/E
402,20/02/2021,N/E
403,19/02/2021,20.4222
404,18/02/2021,20.4165
405,17/02/2021,20.2257
406,16/02/2021,20.2023
407,15/02/2021,19.9518
408,14/02/2021,N/E
409,13/02/2021,N/E
410,12/02/2021,19.9622
411,11/02/2021,19.9535
412,10/02/2021,20.0588
413,09/02/2021,20.0913
414,08/02/2021,20.1227
415,07/02/2021,N/E
416,06/02/2021,N/E
417,05/02/2021,20.1388
418,04/02/2021,20.4435
419,03/02/2021,20.1953
420,02/02/2021,20.1722
421,01/02/2021,N/E
422,31/01/2021,N/E
423,30/01/2021,N/E
424,29/01/2021,20.2248
425,28/01/2021,20.2697
426,27/01/2021,20.2168
427,26/01/2021,20.0152
428,25/01/2021,20.1598
429,24/01/2021,N/E
430,23/01/2021,N/E
431,22/01/2021,19.9833
432,21/01/2021,19.7393
433,20/01/2021,19.5793
434,19/01/2021,19.6788
435,18/01/2021,19.7570
436,17/01/2021,N/E
437,16/01/2021,N/E
438,15/01/2021,19.7875
439,14/01/2021,19.7793
440,13/01/2021,19.7935
441,12/01/2021,19.9373
442,11/01/2021,20.1130
443,10/01/2021,N/E
444,09/01/2021,N/E
445,08/01/2021,19.9705
446,07/01/2021,19.9100
447,06/01/2021,19.7250
448,05/01/2021,19.9437
449,04/01/2021,19.8457
450,03/01/2021,N/E
451,02/01/2021,N/E
452,01/01/2021,N/E
453,31/12/2020,19.9087
454,30/12/2020,19.9352
455,29/12/2020,19.9487
456,28/12/2020,20.0477
457,27/12/2020,N/E
458,26/12/2020,N/E
459,25/12/2020,N/E
460,24/12/2020,19.8517
461,23/12/2020,20.1175
462,22/12/2020,20.0562
463,21/12/2020,20.0905
464,20/12/2020,N/E
465,19/12/2020,N/E
466,18/12/2020,19.9487
467,17/12/2020,19.8173
468,16/12/2020,19.9513
469,15/12/2020,20.1113
470,14/12/2020,20.1778
471,13/12/2020,N/E
472,12/12/2020,N/E
473,11/12/2020,20.1075
474,10/12/2020,19.9572
475,09/12/2020,19.8368
476,08/12/2020,19.7537
477,07/12/2020,19.8213
478,06/12/2020,N/E
479,05/12/2020,N/E
480,04/12/2020,19.7838
481,03/12/2020,19.9083
482,02/12/2020,20.0497
483,01/12/2020,20.0508
484,30/11/2020,20.1398
485,29/11/2020,N/E
486,28/11/2020,N/E
487,27/11/2020,20.0777
488,26/11/2020,20.0467
489,25/11/2020,20.0465
490,24/11/2020,20.0577
491,23/11/2020,20.1012
492,22/11/2020,N/E
493,21/11/2020,N/E
494,20/11/2020,20.1172
495,19/11/2020,20.1858
496,18/11/2020,20.2388
497,17/11/2020,20.3212
498,16/11/2020,N/E
499,15/11/2020,N/E
500,14/11/2020,N/E
501,13/11/2020,20.4833
502,12/11/2020,20.5303
503,11/11/2020,20.5772
504,10/11/2020,20.4018
505,09/11/2020,20.3600
506,08/11/2020,N/E
507,07/11/2020,N/E
508,06/11/2020,20.6200
509,05/11/2020,20.7612
510,04/11/2020,21.0345
511,03/11/2020,21.1555
512,02/11/2020,N/E
513,01/11/2020,N/E
514,31/10/2020,N/E
515,30/10/2020,21.2508
516,29/10/2020,21.3770
517,28/10/2020,21.1648
518,27/10/2020,20.8798
519,26/10/2020,20.9818
520,25/10/2020,N/E
521,24/10/2020,N/E
522,23/10/2020,20.9205
523,22/10/2020,21.0300
524,21/10/2020,21.0640
525,20/10/2020,21.0902
526,19/10/2020,21.1342
527,18/10/2020,N/E
528,17/10/2020,N/E
529,16/10/2020,21.1765
530,15/10/2020,21.3832
531,14/10/2020,21.2998
532,13/10/2020,21.3677
533,12/10/2020,21.2183
534,11/10/2020,N/E
535,10/10/2020,N/E
536,09/10/2020,21.1822
537,08/10/2020,21.4318
538,07/10/2020,21.4930
539,06/10/2020,21.4507
540,05/10/2020,21.3960
541,04/10/2020,N/E
542,03/10/2020,N/E
543,02/10/2020,21.7025
544,01/10/2020,21.9562
545,30/09/2020,22.1438
546,29/09/2020,22.3598
547,28/09/2020,22.4573
548,27/09/2020,N/E
549,26/09/2020,N/E
550,25/09/2020,22.4402
551,24/09/2020,22.3678
552,23/09/2020,22.0897
553,22/09/2020,21.5682
554,21/09/2020,21.5050
555,20/09/2020,N/E
556,19/09/2020,N/E
557,18/09/2020,20.9697
558,17/09/2020,20.9850
559,16/09/2020,N/E
560,15/09/2020,21.0692
561,14/09/2020,21.0728
562,13/09/2020,N/E
563,12/09/2020,N/E
564,11/09/2020,21.3210
565,10/09/2020,21.2773
566,09/09/2020,21.5377
567,08/09/2020,21.7138
568,07/09/2020,21.5887
569,06/09/2020,N/E
570,05/09/2020,N/E
571,04/09/2020,21.6115
572,03/09/2020,21.6383
573,02/09/2020,21.8393
574,01/09/2020,21.7445
575,31/08/2020,21.8880
576,30/08/2020,N/E
577,29/08/2020,N/E
578,28/08/2020,21.8602
579,27/08/2020,22.1168
580,26/08/2020,21.9202
581,25/08/2020,21.9723
582,24/08/2020,21.9840
583,23/08/2020,N/E
584,22/08/2020,N/E
585,21/08/2020,22.0362
586,20/08/2020,22.1760
587,19/08/2020,22.0527
588,18/08/2020,22.1535
589,17/08/2020,22.0570
590,16/08/2020,N/E
591,15/08/2020,N/E
592,14/08/2020,22.0313
593,13/08/2020,22.2628
594,12/08/2020,22.3457
595,11/08/2020,22.3490
596,10/08/2020,22.4850
597,09/08/2020,N/E
598,08/08/2020,N/E
599,07/08/2020,22.4892
600,06/08/2020,22.3652
601,05/08/2020,22.4068
602,04/08/2020,22.7845
603,03/08/2020,22.6140
604,02/08/2020,N/E
605,01/08/2020,N/E
606,31/07/2020,22.2012
607,30/07/2020,22.1727
608,29/07/2020,21.9907
609,28/07/2020,21.9615
610,27/07/2020,22.0275
611,26/07/2020,N/E
612,25/07/2020,N/E
613,24/07/2020,22.3842
614,23/07/2020,22.3627
615,22/07/2020,22.2510
616,21/07/2020,22.3597
617,20/07/2020,22.6278
618,19/07/2020,N/E
619,18/07/2020,N/E
620,17/07/2020,22.4897
621,16/07/2020,22.3032
622,15/07/2020,22.3647
623,14/07/2020,22.6173
624,13/07/2020,22.4633
625,12/07/2020,N/E
626,11/07/2020,N/E
627,10/07/2020,22.5342
628,09/07/2020,22.6945
629,08/07/2020,22.8225
630,07/07/2020,22.6213
631,06/07/2020,22.2808
632,05/07/2020,N/E
633,04/07/2020,N/E
634,03/07/2020,22.4147
635,02/07/2020,22.5225
636,01/07/2020,22.8078
637,30/06/2020,23.0893
638,29/06/2020,23.1325
639,28/06/2020,N/E
640,27/06/2020,N/E
641,26/06/2020,22.9715
642,25/06/2020,22.7963
643,24/06/2020,22.6662
644,23/06/2020,22.4130
645,22/06/2020,22.4413
646,21/06/2020,N/E
647,20/06/2020,N/E
648,19/06/2020,22.6300
649,18/06/2020,22.6088
650,17/06/2020,22.2783
651,16/06/2020,22.2168
652,15/06/2020,22.5435
653,14/06/2020,N/E
654,13/06/2020,N/E
655,12/06/2020,22.3347
656,11/06/2020,22.4252
657,10/06/2020,21.9230
658,09/06/2020,21.7252
659,08/06/2020,21.6552
660,07/06/2020,N/E
661,06/06/2020,N/E
662,05/06/2020,21.5837
663,04/06/2020,21.8388
664,03/06/2020,21.6043
665,02/06/2020,21.6827
666,01/06/2020,22.0168
667,31/05/2020,N/E
668,30/05/2020,N/E
669,29/05/2020,22.1778
670,28/05/2020,22.2040
671,27/05/2020,22.3633
672,26/05/2020,22.2932
673,25/05/2020,22.5630
674,24/05/2020,N/E
675,23/05/2020,N/E
676,22/05/2020,22.7928
677,21/05/2020,22.9600
678,20/05/2020,23.2962
679,19/05/2020,23.6023
680,18/05/2020,23.6032
681,17/05/2020,N/E
682,16/05/2020,N/E
683,15/05/2020,23.9580
684,14/05/2020,24.2708
685,13/05/2020,24.2113
686,12/05/2020,24.0487
687,11/05/2020,23.8693
688,10/05/2020,N/E
689,09/05/2020,N/E
690,08/05/2020,23.6805
691,07/05/2020,24.0563
692,06/05/2020,24.2942
693,05/05/2020,23.8343
694,04/05/2020,24.3812
695,03/05/2020,N/E
696,02/05/2020,N/E
697,01/05/2020,N/E
698,30/04/2020,23.9283
699,29/04/2020,24.0002
700,28/04/2020,24.3882
701,27/04/2020,24.8492
702,26/04/2020,N/E
703,25/04/2020,N/E
704,24/04/2020,24.8583
705,23/04/2020,24.6230
706,22/04/2020,24.5883
707,21/04/2020,24.4248
708,20/04/2020,24.0077
709,19/04/2020,N/E
710,18/04/2020,N/E
711,17/04/2020,23.9012
712,16/04/2020,24.2098
713,15/04/2020,24.1155
714,14/04/2020,23.5645
715,13/04/2020,23.7427
716,12/04/2020,N/E
717,11/04/2020,N/E
718,10/04/2020,N/E
719,09/04/2020,N/E
720,08/04/2020,24.0925
721,07/04/2020,24.0388
722,06/04/2020,24.6895
723,05/04/2020,N/E
724,04/04/2020,N/E
725,03/04/2020,24.6938
726,02/04/2020,24.1087
727,01/04/2020,24.4918
728,31/03/2020,23.4847
729,30/03/2020,24.2853
730,29/03/2020,N/E
731,28/03/2020,N/E
732,27/03/2020,23.5122
733,26/03/2020,23.0970
734,25/03/2020,24.2948
735,24/03/2020,25.1185
736,23/03/2020,25.0782
737,22/03/2020,N/E
738,21/03/2020,N/E
739,20/03/2020,24.1113
740,19/03/2020,24.0868
741,18/03/2020,23.9008
742,17/03/2020,23.0573
743,16/03/2020,N/E
744,15/03/2020,N/E
745,14/03/2020,N/E
746,13/03/2020,21.9288
747,12/03/2020,22.1518
748,11/03/2020,21.2130
749,10/03/2020,21.0267
750,09/03/2020,21.1117
751,08/03/2020,N/E
752,07/03/2020,N/E
753,06/03/2020,20.1623
754,05/03/2020,19.8095
755,04/03/2020,19.5335
756,03/03/2020,19.2837
757,02/03/2020,19.6985
758,01/03/2020,N/E
759,29/02/2020,N/E
760,28/02/2020,19.7760
761,27/02/2020,19.3973
762,26/02/2020,19.1585
763,25/02/2020,19.0878
764,24/02/2020,19.1197
765,23/02/2020,N/E
766,22/02/2020,N/E
767,21/02/2020,18.9138
768,20/02/2020,18.7992
769,19/02/2020,18.5910
770,18/02/2020,18.5952
771,17/02/2020,18.5715
772,16/02/2020,N/E
773,15/02/2020,N/E
774,14/02/2020,18.5712
775,13/02/2020,18.6458
776,12/02/2020,18.6308
777,11/02/2020,18.6740
778,10/02/2020,18.7653
779,09/02/2020,N/E
780,08/02/2020,N/E
781,07/02/2020,18.7763
782,06/02/2020,18.6645
783,05/02/2020,18.6245
784,04/02/2020,18.6797
785,03/02/2020,N/E
786,02/02/2020,N/E
787,01/02/2020,N/E
788,31/01/2020,18.9082
789,30/01/2020,18.7853
790,29/01/2020,18.7067
791,28/01/2020,18.8022
792,27/01/2020,18.9407
793,26/01/2020,N/E
794,25/01/2020,N/E
795,24/01/2020,18.8313
796,23/01/2020,18.8018
797,22/01/2020,18.6883
798,21/01/2020,18.7007
799,20/01/2020,18.6725
800,19/01/2020,N/E
801,18/01/2020,N/E
802,17/01/2020,18.7388
803,16/01/2020,18.7930
804,15/01/2020,18.8077
805,14/01/2020,18.8120
806,13/01/2020,18.8215
807,12/01/2020,N/E
808,11/01/2020,N/E
809,10/01/2020,18.7732
810,09/01/2020,18.8453
811,08/01/2020,18.7980
812,07/01/2020,18.8852
813,06/01/2020,18.8270
814,05/01/2020,N/E
815,04/01/2020,N/E
816,03/01/2020,18.8673
817,02/01/2020,18.8817
818,01/01/2020,N/E
819,31/12/2019,18.8642
820,30/12/2019,18.8727
821,29/12/2019,N/E
822,28/12/2019,N/E
823,27/12/2019,18.8452
824,26/12/2019,18.9445
825,25/12/2019,N/E
826,24/12/2019,18.9643
827,23/12/2019,18.9385
828,22/12/2019,N/E
829,21/12/2019,N/E
830,20/12/2019,18.9133
831,19/12/2019,18.9640
832,18/12/2019,18.9542
833,17/12/2019,18.9165
834,16/12/2019,18.9702
835,15/12/2019,N/E
836,14/12/2019,N/E
837,13/12/2019,19.0455
838,12/12/2019,N/E
839,11/12/2019,19.1785
840,10/12/2019,19.2362
841,09/12/2019,19.2302
842,08/12/2019,N/E
843,07/12/2019,N/E
844,06/12/2019,19.3247
845,05/12/2019,19.3688
846,04/12/2019,19.4707
847,03/12/2019,19.5678
848,02/12/2019,19.5717
849,01/12/2019,N/E
850,30/11/2019,N/E
851,29/11/2019,19.5352
852,28/11/2019,19.6113
853,27/11/2019,19.5607
854,26/11/2019,19.5185
855,25/11/2019,19.4468
856,24/11/2019,N/E
857,23/11/2019,N/E
858,22/11/2019,19.3987
859,21/11/2019,19.4138
860,20/11/2019,19.4800
861,19/11/2019,19.3687
862,18/11/2019,N/E
863,17/11/2019,N/E
864,16/11/2019,N/E
865,15/11/2019,19.2063
866,14/11/2019,19.4228
867,13/11/2019,19.4543
868,12/11/2019,19.2178
869,11/11/2019,19.1090
870,10/11/2019,N/E
871,09/11/2019,N/E
872,08/11/2019,19.1068
873,07/11/2019,19.1327
874,06/11/2019,19.1953
875,05/11/2019,19.2125
876,04/11/2019,19.1525
877,03/11/2019,N/E
878,02/11/2019,N/E
879,01/11/2019,19.1058
880,31/10/2019,19.1948
881,30/10/2019,19.1643
882,29/10/2019,19.1167
883,28/10/2019,19.0543
884,27/10/2019,N/E
885,26/10/2019,N/E
886,25/10/2019,19.0820
887,24/10/2019,19.0878
888,23/10/2019,19.1258
889,22/10/2019,19.1050
890,21/10/2019,19.1422
891,20/10/2019,N/E
892,19/10/2019,N/E
893,18/10/2019,19.1492
894,17/10/2019,19.1602
895,16/10/2019,19.2135
896,15/10/2019,19.2520
897,14/10/2019,19.2652
898,13/10/2019,N/E
899,12/10/2019,N/E
900,11/10/2019,19.3217
901,10/10/2019,19.4764
902,09/10/2019,19.5689
903,08/10/2019,19.5840
904,07/10/2019,19.5522
905,06/10/2019,N/E
906,05/10/2019,N/E
907,04/10/2019,19.5255
908,03/10/2019,19.7368
909,02/10/2019,19.7985
910,01/10/2019,19.7792
911,30/09/2019,19.7345
912,29/09/2019,N/E
913,28/09/2019,N/E
914,27/09/2019,19.6808
915,26/09/2019,19.6363
916,25/09/2019,19.5775
917,24/09/2019,19.4587
918,23/09/2019,19.4459
919,22/09/2019,N/E
920,21/09/2019,N/E
921,20/09/2019,19.4478
922,19/09/2019,19.3981
923,18/09/2019,19.3528
924,17/09/2019,19.4262
925,16/09/2019,N/E
926,15/09/2019,N/E
927,14/09/2019,N/E
928,13/09/2019,19.3665
929,12/09/2019,19.4265
930,11/09/2019,19.5478
931,10/09/2019,19.5354
932,09/09/2019,19.5398
933,08/09/2019,N/E
934,07/09/2019,N/E
935,06/09/2019,19.5623
936,05/09/2019,19.6834
937,04/09/2019,19.7806
938,03/09/2019,20.0039
939,02/09/2019,20.1253
940,01/09/2019,N/E
941,31/08/2019,N/E
942,30/08/2019,20.0696
943,29/08/2019,20.0988
944,28/08/2019,20.0314
945,27/08/2019,19.9934
946,26/08/2019,19.9086
947,25/08/2019,N/E
948,24/08/2019,N/E
949,23/08/2019,19.8402
950,22/08/2019,19.7467
951,21/08/2019,19.6798
952,20/08/2019,19.7522
953,19/08/2019,19.8153
954,18/08/2019,N/E
955,17/08/2019,N/E
956,16/08/2019,19.5669
957,15/08/2019,19.6365
958,14/08/2019,19.5763
959,13/08/2019,19.4630
960,12/08/2019,19.5803
961,11/08/2019,N/E
962,10/08/2019,N/E
963,09/08/2019,19.4283
964,08/08/2019,19.5118
965,07/08/2019,19.6953
966,06/08/2019,19.6291
967,05/08/2019,19.5731
968,04/08/2019,N/E
969,03/08/2019,N/E
970,02/08/2019,19.3116
971,01/08/2019,19.1627
972,31/07/2019,18.9929
973,30/07/2019,19.0747
974,29/07/2019,19.0900
975,28/07/2019,N/E
976,27/07/2019,N/E
977,26/07/2019,19.0699
978,25/07/2019,19.0623
979,24/07/2019,19.0894
980,23/07/2019,19.1315
981,22/07/2019,19.0659
982,21/07/2019,N/E
983,20/07/2019,N/E
984,19/07/2019,19.0123
985,18/07/2019,19.0108
986,17/07/2019,19.0233
987,16/07/2019,19.0781
988,15/07/2019,18.9803
989,14/07/2019,N/E
990,13/07/2019,N/E
991,12/07/2019,19.0307
992,11/07/2019,19.1227
993,10/07/2019,19.2425
994,09/07/2019,19.0043
995,08/07/2019,18.9116
996,07/07/2019,N/E
997,06/07/2019,N/E
998,05/07/2019,19.0446
999,04/07/2019,18.9947
1000,03/07/2019,19.0502
1001,02/07/2019,19.0694
1002,01/07/2019,19.0760
1003,30/06/2019,N/E
1004,29/06/2019,N/E
1005,28/06/2019,19.2087
1006,27/06/2019,19.1685
1007,26/06/2019,19.1442
1008,25/06/2019,19.2271
1009,24/06/2019,19.1833
1010,23/06/2019,N/E
1011,22/06/2019,N/E
1012,21/06/2019,19.0661
1013,20/06/2019,18.9804
1014,19/06/2019,19.1753
1015,18/06/2019,19.1011
1016,17/06/2019,19.1924
